Sentence	Actual Activation	Predicted Activation
the terrific and bewilderingly underrated campbell scott gives a star performance that is nothing short of mesmerizing . 	0.0468	8.0000
this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . 	0.0187	9.0000
schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . 	0.0212	8.0000
a lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s european-set spy pictures . 	0.0204	9.0000
the film 's tone and pacing are off almost from the get-go . 	0.0496	9.0000
it 's hard to imagine alan arkin being better than he is in this performance . 	0.0034	8.0000
ramsay , as in ratcatcher , remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid . 	0.0029	8.0000
green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . 	0.0040	4.0000
the movie does a good job of laying out some of the major issues that we encounter as we journey through life . 	0.0010	7.0000
one of the smartest takes on singles culture i 've seen in a long time . 	0.0005	8.0000
